time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-09 00:00:00+00:00,1.0,1.0,38,3
2023-01-10 00:00:00+00:00,73.0,18.0,180,7
2023-01-11 00:00:00+00:00,7.0,3.0,22,5
2023-01-12 00:00:00+00:00,1.0,1.0,4,2
2023-01-13 00:00:00+00:00,,,1,1
2023-01-14 00:00:00+00:00,1.0,1.0,6,2
2023-01-15 00:00:00+00:00,,,6,4
2023-01-16 00:00:00+00:00,2.0,2.0,14,7
2023-01-17 00:00:00+00:00,,,2,2
2023-01-18 00:00:00+00:00,12.0,5.0,42,4
2023-01-19 00:00:00+00:00,2.0,1.0,2,1
2023-01-20 00:00:00+00:00,,,18,5
2023-01-21 00:00:00+00:00,,,15,3
2023-01-22 00:00:00+00:00,,,2,2
