url_path,views_total,views_unique
/saltydk/SARotate,22,6
/saltydk/SARotate/tree/main/Models,9,1
/saltydk/SARotate/issues,5,1
/saltydk/SARotate/blob/main/Program.cs,4,2
/saltydk/SARotate/commit/873e70dcb3ca9377275683b3363ae6bb6cd88adf,3,1
/saltydk/SARotate/releases/tag/v2.0.9,2,2
/saltydk/SARotate/blob/main/appsettings.json,2,1
/saltydk/SARotate/blob/main/Models/Google/ServiceAccount.cs,2,1
/saltydk/SARotate/blob/main/Models/RCloneCommands/RCloneServiceAccountCommand.cs,2,1
/saltydk/SARotate/blob/main/Models/SARotateConfig.cs,2,1
