time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-15 00:00:00+00:00,,,6,4
2023-01-16 00:00:00+00:00,2.0,2.0,14,7
2023-01-17 00:00:00+00:00,,,2,2
2023-01-18 00:00:00+00:00,12.0,5.0,42,4
2023-01-19 00:00:00+00:00,2.0,1.0,2,1
2023-01-20 00:00:00+00:00,,,18,5
2023-01-21 00:00:00+00:00,,,15,3
2023-01-22 00:00:00+00:00,,,3,2
2023-01-23 00:00:00+00:00,1.0,1.0,2,2
2023-01-24 00:00:00+00:00,,,2,2
2023-01-25 00:00:00+00:00,2.0,1.0,4,1
2023-01-27 00:00:00+00:00,,,14,6
2023-01-28 00:00:00+00:00,2.0,2.0,1,1
