url_path,views_total,views_unique
/saltydk/SARotate,31,12
/saltydk/SARotate/issues,4,1
/saltydk/SARotate/tree/main/Models,3,2
/saltydk/SARotate/search,3,1
/saltydk/SARotate/blob/main/Models/RCloneCommands/RCloneServiceAccountCommand.cs,2,1
/saltydk/SARotate/issues/1,2,1
/saltydk/SARotate/tree/main/Models/RCloneCommands,2,1
/saltydk/SARotate/blob/main/.github/workflows/build-binaries.yml,1,1
/saltydk/SARotate/blob/main/Models/Google/ServiceAccount.cs,1,1
/saltydk/SARotate/blob/main/Models/NotificationConfig.cs,1,1
