time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-15 00:00:00+00:00,8,6,111,30
2025-01-16 00:00:00+00:00,7,7,133,18
2025-01-17 00:00:00+00:00,77,4,76,20
2025-01-18 00:00:00+00:00,156,14,41,15
2025-01-19 00:00:00+00:00,6,5,60,18
2025-01-20 00:00:00+00:00,76,4,47,9
2025-01-21 00:00:00+00:00,83,78,56,12
2025-01-22 00:00:00+00:00,112,40,60,24
2025-01-23 00:00:00+00:00,84,14,73,19
2025-01-24 00:00:00+00:00,245,30,68,20
2025-01-25 00:00:00+00:00,149,9,43,28
2025-01-26 00:00:00+00:00,6,5,57,16
2025-01-27 00:00:00+00:00,231,17,73,14
2025-01-28 00:00:00+00:00,5,5,193,18
