time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-18 00:00:00+00:00,585,20,48,33
2026-04-19 00:00:00+00:00,431,32,86,27
2026-04-20 00:00:00+00:00,533,46,87,47
2026-04-21 00:00:00+00:00,617,41,26,21
2026-04-22 00:00:00+00:00,722,50,38,21
2026-04-23 00:00:00+00:00,593,46,68,19
2026-04-24 00:00:00+00:00,608,45,14,10
2026-04-25 00:00:00+00:00,649,22,27,13
2026-04-26 00:00:00+00:00,630,22,36,14
2026-04-27 00:00:00+00:00,636,21,44,16
2026-04-28 00:00:00+00:00,283,14,65,11
2026-04-29 00:00:00+00:00,245,12,83,10
2026-04-30 00:00:00+00:00,219,13,16,14
2026-05-01 00:00:00+00:00,574,18,42,21
