time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-15 00:00:00+00:00,271,184,40,28
2025-02-16 00:00:00+00:00,9,8,46,19
2025-02-17 00:00:00+00:00,199,182,66,16
2025-02-18 00:00:00+00:00,15,15,81,19
2025-02-19 00:00:00+00:00,560,197,73,12
2025-02-20 00:00:00+00:00,196,190,159,20
2025-02-21 00:00:00+00:00,88,16,104,15
2025-02-22 00:00:00+00:00,17,15,68,11
2025-02-23 00:00:00+00:00,15,14,55,13
2025-02-24 00:00:00+00:00,16,15,76,17
2025-02-25 00:00:00+00:00,488,191,96,22
2025-02-26 00:00:00+00:00,1197,957,103,19
2025-02-27 00:00:00+00:00,356,209,23,11
2025-02-28 00:00:00+00:00,10,9,39,12
