url_path,views_total,views_unique
/saltyorg/Saltbox,203,132
/saltyorg/Saltbox/tree/master/roles,40,21
/saltyorg/Saltbox/issues,32,9
/saltyorg/Saltbox/pulls,20,9
/saltyorg/Saltbox/tree/master/roles/traefik,20,9
/saltyorg/Saltbox/blob/master/roles/traefik/defaults/main.yml,18,6
/saltyorg/Saltbox/tree/master/roles/traefik/defaults,11,6
/saltyorg/Saltbox/blob/4d7e240ab5429cf7d876c73546627fe3a7045c8c/inventories/group_vars/all.yml,11,3
/saltyorg/Saltbox/commits/role-refactor,9,2
/saltyorg/Saltbox/blob/4d7e240ab5429cf7d876c73546627fe3a7045c8c/resources/tasks/docker/create_docker_container.yml,7,5
