time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-21 00:00:00+00:00,99,33,74,31
2023-02-22 00:00:00+00:00,346,303,142,23
2023-02-23 00:00:00+00:00,833,575,69,23
2023-02-24 00:00:00+00:00,185,159,74,19
2023-02-25 00:00:00+00:00,21,18,73,19
2023-02-26 00:00:00+00:00,149,23,140,29
2023-02-27 00:00:00+00:00,28,22,54,19
2023-02-28 00:00:00+00:00,510,253,105,25
2023-03-01 00:00:00+00:00,1321,483,177,17
2023-03-02 00:00:00+00:00,249,165,89,17
2023-03-03 00:00:00+00:00,86,20,80,18
2023-03-04 00:00:00+00:00,26,20,66,15
2023-03-05 00:00:00+00:00,20,18,79,22
2023-03-06 00:00:00+00:00,27,21,151,15
