url_path,views_total,views_unique
/saltyorg/Saltbox,208,121
/saltyorg/Saltbox/tree/master/roles,46,19
/saltyorg/Saltbox/issues,27,15
/saltyorg/Saltbox/commits/master,17,5
/saltyorg/Saltbox/blob/master/roles/authelia/templates/configuration.yml.j2,14,7
/saltyorg/Saltbox/pulls,13,6
/saltyorg/Saltbox/blob/master/saltbox.yml,11,7
/saltyorg/Saltbox/blob/master/roles/traefik/defaults/main.yml,11,6
/saltyorg/Saltbox/tree/master/roles/traefik/defaults,10,6
/saltyorg/Saltbox/tree/master/roles/rclone,10,3
