time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-29 00:00:00+00:00,624,488,80,19
2022-11-30 00:00:00+00:00,1688,1429,65,20
2022-12-01 00:00:00+00:00,1108,845,133,23
2022-12-02 00:00:00+00:00,668,422,88,13
2022-12-03 00:00:00+00:00,87,22,72,20
2022-12-04 00:00:00+00:00,1476,1293,44,17
2022-12-05 00:00:00+00:00,2650,2273,103,18
2022-12-06 00:00:00+00:00,1367,1076,54,18
2022-12-07 00:00:00+00:00,1547,1265,57,21
2022-12-08 00:00:00+00:00,2412,2043,154,21
2022-12-09 00:00:00+00:00,134,12,45,16
2022-12-10 00:00:00+00:00,17,16,96,19
2022-12-11 00:00:00+00:00,608,443,49,17
2022-12-12 00:00:00+00:00,265,18,86,29
