time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-09 00:00:00+00:00,1626,19,149,15
2026-08-10 00:00:00+00:00,3928,20,22,14
2026-08-11 00:00:00+00:00,5165,16,20,13
2026-08-12 00:00:00+00:00,5188,22,30,13
2026-08-13 00:00:00+00:00,7310,555,32,11
2026-08-14 00:00:00+00:00,7559,383,81,11
2026-08-15 00:00:00+00:00,7477,386,20,11
2026-08-16 00:00:00+00:00,7894,625,40,16
2026-08-17 00:00:00+00:00,5750,19,16,10
2026-08-18 00:00:00+00:00,5416,14,11,8
2026-08-19 00:00:00+00:00,5517,362,40,12
2026-08-20 00:00:00+00:00,6954,1499,108,11
2026-08-21 00:00:00+00:00,5205,1388,46,12
2026-08-22 00:00:00+00:00,4003,1048,37,15
