time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-26 00:00:00+00:00,149,23,140,29
2023-02-27 00:00:00+00:00,28,22,54,19
2023-02-28 00:00:00+00:00,510,253,105,25
2023-03-01 00:00:00+00:00,1321,483,177,17
2023-03-02 00:00:00+00:00,249,165,89,17
2023-03-03 00:00:00+00:00,86,20,80,18
2023-03-04 00:00:00+00:00,26,20,66,15
2023-03-05 00:00:00+00:00,20,18,79,22
2023-03-06 00:00:00+00:00,28,22,155,17
2023-03-07 00:00:00+00:00,38,22,160,21
2023-03-08 00:00:00+00:00,18,15,194,24
2023-03-09 00:00:00+00:00,401,17,131,15
2023-03-10 00:00:00+00:00,533,13,358,26
2023-03-11 00:00:00+00:00,470,18,113,15
