url_path,views_total,views_unique
/saltyorg/Saltbox,158,99
/saltyorg/Saltbox/tree/master/roles,32,10
/saltyorg/Saltbox/issues,19,13
/saltyorg/Saltbox/pulls,18,8
/saltyorg/Saltbox/pull/359,10,3
/saltyorg/Saltbox/blob/master/roles/authelia/defaults/main.yml,7,5
/saltyorg/Saltbox/tree/master/roles/qbittorrent,7,3
/saltyorg/Saltbox/blob/dc15d8119f43c2a7f53abb1743f762f2781da29e/roles/rclone/tasks/subtasks/01_build_url.yml,7,1
/saltyorg/Saltbox/tree/master/filter_plugins,7,1
/saltyorg/Saltbox/blob/master/saltbox.yml,6,6
