url_path,views_total,views_unique
/saltyorg/Saltbox,233,153
/saltyorg/Saltbox/tree/master/roles,212,37
/saltyorg/Saltbox/tree/master/inventories,72,6
/saltyorg/Saltbox/commits/master,68,6
/saltyorg/Saltbox/tree/master/defaults,61,5
/saltyorg/Saltbox/tree/master/resources,61,3
/saltyorg/Saltbox/blob/master/inventories/group_vars/all.yml,53,3
/saltyorg/Saltbox/tree/master/resources/tasks,48,2
/saltyorg/Saltbox/blob/master/resources/roles/dns/tasks/main.yml,48,1
/saltyorg/Saltbox/tree/master/inventories/group_vars,43,5
