url_path,views_total,views_unique
/saltyorg/Saltbox,194,133
/saltyorg/Saltbox/tree/master/roles,39,22
/saltyorg/Saltbox/issues,19,11
/saltyorg/Saltbox/blob/master/roles/authelia/templates/configuration.yml.j2,11,9
/saltyorg/Saltbox/blob/090c04f56da2050a2b125b0bd6b5d208df10d196/inventories/group_vars/all.yml,11,8
/saltyorg/Saltbox/tree/master/defaults,9,8
/saltyorg/Saltbox/pulls,9,3
/saltyorg/Saltbox/tree/master/inventories,7,6
/saltyorg/Saltbox/blob/master/roles/authelia/defaults/main.yml,7,4
/saltyorg/Saltbox/tree/master/roles/remote/templates,7,4
