url_path,views_total,views_unique
/saltyorg/Saltbox,202,123
/saltyorg/Saltbox/tree/master/roles,36,19
/saltyorg/Saltbox/issues,34,10
/saltyorg/Saltbox/tree/master/roles/traefik,19,8
/saltyorg/Saltbox/blob/master/roles/traefik/defaults/main.yml,16,5
/saltyorg/Saltbox/pulls,13,10
/saltyorg/Saltbox/blob/4d7e240ab5429cf7d876c73546627fe3a7045c8c/inventories/group_vars/all.yml,11,3
/saltyorg/Saltbox/commits/role-refactor,11,3
/saltyorg/Saltbox/tree/master/roles/traefik/defaults,10,5
/saltyorg/Saltbox/issues/374,9,7
