time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-20 00:00:00+00:00,1809,416,167,20
2022-12-21 00:00:00+00:00,795,301,131,17
2022-12-22 00:00:00+00:00,347,271,56,14
2022-12-23 00:00:00+00:00,244,158,140,18
2022-12-24 00:00:00+00:00,78,14,76,17
2022-12-25 00:00:00+00:00,593,172,68,13
2022-12-26 00:00:00+00:00,886,303,109,21
2022-12-27 00:00:00+00:00,1575,487,130,26
2022-12-28 00:00:00+00:00,1750,535,138,23
2022-12-29 00:00:00+00:00,1141,452,118,23
2022-12-30 00:00:00+00:00,345,268,184,14
2022-12-31 00:00:00+00:00,311,150,49,23
2023-01-01 00:00:00+00:00,142,14,74,26
2023-01-02 00:00:00+00:00,728,391,137,20
