url_path,views_total,views_unique
/saltyorg/Saltbox,134,83
/saltyorg/Saltbox/issues,19,8
/saltyorg/Saltbox/pulls,18,7
/saltyorg/Saltbox/tree/master/roles,7,6
/saltyorg/Saltbox/blob/c6f8c465687519a5ad8b63de3babda716530de43/.github/ISSUE_TEMPLATE.md,5,1
/saltyorg/Saltbox/blob/master/roles/backup/tasks/restore_service.yml,4,3
/saltyorg/Saltbox/issues/496,4,3
/saltyorg/Saltbox/blob/master/roles/authelia/templates/configuration.yml.j2,3,3
/saltyorg/Saltbox/tree/master/scripts,3,3
/saltyorg/saltbox/commits,3,3
