time_iso8601,stars_cumulative
2018-07-24 00:00:00+00:00,227
2018-07-28 00:00:00+00:00,228
2018-07-29 00:00:00+00:00,230
2018-07-30 00:00:00+00:00,231
2018-08-02 00:00:00+00:00,232
2018-08-03 00:00:00+00:00,235
2018-08-04 00:00:00+00:00,236
2018-08-05 00:00:00+00:00,237
2018-08-07 00:00:00+00:00,238
2018-08-10 00:00:00+00:00,239
2018-08-11 00:00:00+00:00,240
2018-08-12 00:00:00+00:00,241
2018-08-14 00:00:00+00:00,242
2018-08-16 00:00:00+00:00,244
2018-08-17 00:00:00+00:00,245
2018-08-18 00:00:00+00:00,248
2018-08-20 00:00:00+00:00,250
2018-08-22 00:00:00+00:00,252
2018-08-24 00:00:00+00:00,253
2018-08-26 00:00:00+00:00,255
2018-08-27 00:00:00+00:00,257
2018-08-28 00:00:00+00:00,259
2018-08-31 00:00:00+00:00,261
2018-09-02 00:00:00+00:00,262
2018-09-03 00:00:00+00:00,263
2018-09-05 00:00:00+00:00,266
2018-09-08 00:00:00+00:00,268
2018-09-09 00:00:00+00:00,269
2018-09-10 00:00:00+00:00,270
2018-09-11 00:00:00+00:00,271
2018-09-13 00:00:00+00:00,274
2018-09-15 00:00:00+00:00,276
2018-09-17 00:00:00+00:00,278
2018-09-19 00:00:00+00:00,279
2018-09-20 00:00:00+00:00,282
2018-09-21 00:00:00+00:00,284
2018-09-22 00:00:00+00:00,285
2018-09-23 00:00:00+00:00,286
2018-09-24 00:00:00+00:00,289
2018-09-25 00:00:00+00:00,290
2018-09-28 00:00:00+00:00,291
2018-09-29 00:00:00+00:00,292
2018-10-02 00:00:00+00:00,293
2018-10-05 00:00:00+00:00,294
2018-10-06 00:00:00+00:00,297
2018-10-07 00:00:00+00:00,299
2018-10-08 00:00:00+00:00,300
2018-10-10 00:00:00+00:00,303
2018-10-11 00:00:00+00:00,305
2018-10-13 00:00:00+00:00,308
2018-10-14 00:00:00+00:00,311
2018-10-15 00:00:00+00:00,314
2018-10-16 00:00:00+00:00,316
2018-10-17 00:00:00+00:00,317
2018-10-19 00:00:00+00:00,319
2018-10-23 00:00:00+00:00,324
2018-10-26 00:00:00+00:00,326
2018-10-29 00:00:00+00:00,327
2018-10-30 00:00:00+00:00,328
2018-11-01 00:00:00+00:00,330
2018-11-02 00:00:00+00:00,332
2018-11-03 00:00:00+00:00,335
2018-11-04 00:00:00+00:00,337
2018-11-05 00:00:00+00:00,339
2018-11-06 00:00:00+00:00,340
2018-11-07 00:00:00+00:00,342
2018-11-09 00:00:00+00:00,343
2018-11-11 00:00:00+00:00,346
2018-11-15 00:00:00+00:00,347
2018-11-17 00:00:00+00:00,348
2018-11-18 00:00:00+00:00,349
2018-11-19 00:00:00+00:00,350
2018-11-21 00:00:00+00:00,351
2018-11-24 00:00:00+00:00,353
2018-11-25 00:00:00+00:00,356
2018-11-26 00:00:00+00:00,358
2018-12-01 00:00:00+00:00,360
2018-12-03 00:00:00+00:00,363
2018-12-06 00:00:00+00:00,366
2018-12-07 00:00:00+00:00,368
2018-12-08 00:00:00+00:00,369
2018-12-11 00:00:00+00:00,370
2018-12-15 00:00:00+00:00,373
2018-12-17 00:00:00+00:00,374
2018-12-18 00:00:00+00:00,375
2018-12-20 00:00:00+00:00,377
2018-12-21 00:00:00+00:00,378
2018-12-22 00:00:00+00:00,379
2018-12-23 00:00:00+00:00,380
2018-12-24 00:00:00+00:00,381
2018-12-26 00:00:00+00:00,382
2018-12-28 00:00:00+00:00,383
2018-12-29 00:00:00+00:00,386
2018-12-31 00:00:00+00:00,388
2019-01-01 00:00:00+00:00,389
2019-01-02 00:00:00+00:00,391
2019-01-03 00:00:00+00:00,393
2019-01-04 00:00:00+00:00,394
2019-01-05 00:00:00+00:00,395
2019-01-06 00:00:00+00:00,396
2019-01-07 00:00:00+00:00,397
2019-01-08 00:00:00+00:00,399
2019-01-10 00:00:00+00:00,400
2019-01-11 00:00:00+00:00,402
2019-01-12 00:00:00+00:00,408
2019-01-13 00:00:00+00:00,412
2019-01-14 00:00:00+00:00,414
2019-01-16 00:00:00+00:00,417
2019-01-17 00:00:00+00:00,418
2019-01-18 00:00:00+00:00,419
2019-01-20 00:00:00+00:00,421
2019-01-21 00:00:00+00:00,423
2019-01-22 00:00:00+00:00,424
2019-01-23 00:00:00+00:00,426
2019-01-24 00:00:00+00:00,427
2019-01-25 00:00:00+00:00,428
2019-01-26 00:00:00+00:00,429
2019-01-27 00:00:00+00:00,430
2019-01-29 00:00:00+00:00,431
2019-01-30 00:00:00+00:00,432
2019-02-02 00:00:00+00:00,436
2019-02-05 00:00:00+00:00,438
2019-02-08 00:00:00+00:00,439
2019-02-10 00:00:00+00:00,441
2019-02-12 00:00:00+00:00,442
2019-02-13 00:00:00+00:00,444
2019-02-14 00:00:00+00:00,446
2019-02-15 00:00:00+00:00,448
2019-02-16 00:00:00+00:00,452
2019-02-17 00:00:00+00:00,454
2019-02-18 00:00:00+00:00,458
2019-02-19 00:00:00+00:00,460
2019-02-20 00:00:00+00:00,462
2019-02-21 00:00:00+00:00,463
2019-02-22 00:00:00+00:00,465
2019-02-24 00:00:00+00:00,466
