time_iso8601,forks_cumulative
2020-07-29 00:00:00+00:00,164
2020-08-03 00:00:00+00:00,165
2020-08-11 00:00:00+00:00,166
2020-08-14 00:00:00+00:00,167
2020-08-18 00:00:00+00:00,168
2020-09-02 00:00:00+00:00,169
2020-09-07 00:00:00+00:00,170
2020-09-08 00:00:00+00:00,171
2020-09-13 00:00:00+00:00,172
2020-09-16 00:00:00+00:00,173
2020-09-19 00:00:00+00:00,174
2020-09-20 00:00:00+00:00,175
2020-09-28 00:00:00+00:00,176
2020-10-08 00:00:00+00:00,177
2020-10-13 00:00:00+00:00,178
2020-10-23 00:00:00+00:00,179
2020-10-28 00:00:00+00:00,180
2020-11-04 00:00:00+00:00,181
2020-11-11 00:00:00+00:00,182
2020-11-21 00:00:00+00:00,183
2020-11-23 00:00:00+00:00,184
2020-11-29 00:00:00+00:00,185
2020-12-03 00:00:00+00:00,186
2020-12-09 00:00:00+00:00,187
2020-12-31 00:00:00+00:00,188
2021-01-05 00:00:00+00:00,189
2021-01-07 00:00:00+00:00,190
2021-01-10 00:00:00+00:00,191
2021-01-12 00:00:00+00:00,192
2021-01-15 00:00:00+00:00,193
2021-01-22 00:00:00+00:00,194
2021-01-25 00:00:00+00:00,195
2021-01-26 00:00:00+00:00,196
2021-01-31 00:00:00+00:00,198
2021-02-05 00:00:00+00:00,199
2021-02-08 00:00:00+00:00,200
2021-02-22 00:00:00+00:00,202
2021-02-26 00:00:00+00:00,203
2021-03-14 00:00:00+00:00,204
2021-03-15 00:00:00+00:00,206
2021-03-22 00:00:00+00:00,207
2021-03-24 00:00:00+00:00,208
2021-04-08 00:00:00+00:00,209
2021-04-14 00:00:00+00:00,210
2021-04-15 00:00:00+00:00,211
2021-04-18 00:00:00+00:00,212
2021-04-25 00:00:00+00:00,213
2021-04-30 00:00:00+00:00,214
2021-05-03 00:00:00+00:00,215
2021-05-05 00:00:00+00:00,216
2021-05-11 00:00:00+00:00,217
2021-06-06 00:00:00+00:00,218
2021-06-10 00:00:00+00:00,219
2021-06-16 00:00:00+00:00,221
2021-06-30 00:00:00+00:00,222
2021-07-04 00:00:00+00:00,223
2021-07-08 00:00:00+00:00,224
2021-07-20 00:00:00+00:00,225
2021-07-22 00:00:00+00:00,226
2021-07-23 00:00:00+00:00,227
2021-07-30 00:00:00+00:00,228
2021-08-13 00:00:00+00:00,229
2021-08-28 00:00:00+00:00,230
2021-08-30 00:00:00+00:00,231
2021-08-31 00:00:00+00:00,232
2021-09-01 00:00:00+00:00,233
2021-09-03 00:00:00+00:00,234
2021-09-19 00:00:00+00:00,235
2021-09-30 00:00:00+00:00,236
2021-10-02 00:00:00+00:00,237
2021-10-15 00:00:00+00:00,238
2021-10-21 00:00:00+00:00,239
2021-10-25 00:00:00+00:00,240
2021-10-31 00:00:00+00:00,241
2021-11-08 00:00:00+00:00,243
2021-11-22 00:00:00+00:00,244
2021-12-06 00:00:00+00:00,246
2021-12-19 00:00:00+00:00,247
2022-01-02 00:00:00+00:00,248
2022-01-11 00:00:00+00:00,250
2022-01-13 00:00:00+00:00,251
2022-01-15 00:00:00+00:00,252
2022-01-18 00:00:00+00:00,253
2022-01-19 00:00:00+00:00,254
2022-01-21 00:00:00+00:00,255
2022-02-01 00:00:00+00:00,256
2022-02-10 00:00:00+00:00,257
2022-02-11 00:00:00+00:00,258
2022-02-16 00:00:00+00:00,259
2022-02-24 00:00:00+00:00,260
2022-02-26 00:00:00+00:00,261
2022-03-02 00:00:00+00:00,262
2022-03-05 00:00:00+00:00,263
2022-03-08 00:00:00+00:00,264
2022-03-11 00:00:00+00:00,265
2022-03-12 00:00:00+00:00,266
2022-03-14 00:00:00+00:00,268
2022-03-23 00:00:00+00:00,269
2022-03-24 00:00:00+00:00,270
2022-03-26 00:00:00+00:00,271
2022-03-29 00:00:00+00:00,272
2022-03-30 00:00:00+00:00,273
2022-04-06 00:00:00+00:00,274
2022-04-10 00:00:00+00:00,275
2022-04-12 00:00:00+00:00,276
2022-04-22 00:00:00+00:00,277
2022-05-07 00:00:00+00:00,278
2022-06-07 00:00:00+00:00,279
2022-06-21 00:00:00+00:00,280
2022-06-29 00:00:00+00:00,281
2022-07-03 00:00:00+00:00,282
2022-07-14 00:00:00+00:00,283
2022-07-20 00:00:00+00:00,284
2022-07-21 00:00:00+00:00,285
2022-08-04 00:00:00+00:00,286
2022-10-02 00:00:00+00:00,287
2022-10-20 00:00:00+00:00,288
2022-10-25 00:00:00+00:00,289
