time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-24 00:00:00+00:00,1.0,1.0,96,23
2022-08-25 00:00:00+00:00,,,32,16
2022-08-26 00:00:00+00:00,1.0,1.0,26,14
2022-08-27 00:00:00+00:00,3.0,3.0,42,18
2022-08-28 00:00:00+00:00,1.0,1.0,36,13
2022-08-29 00:00:00+00:00,1.0,1.0,44,18
2022-08-30 00:00:00+00:00,,,19,13
2022-08-31 00:00:00+00:00,3.0,3.0,48,19
2022-09-01 00:00:00+00:00,1.0,1.0,5,4
2022-09-02 00:00:00+00:00,1.0,1.0,32,14
2022-09-03 00:00:00+00:00,,,24,11
2022-09-04 00:00:00+00:00,2.0,2.0,27,13
2022-09-05 00:00:00+00:00,,,34,17
2022-09-06 00:00:00+00:00,1.0,1.0,59,18
