url_path,views_total,views_unique
/Cloudbox/Community/wiki,118,60
/Cloudbox/Community,93,67
/Cloudbox/Community/wiki/Trakt-Lists,37,24
/Cloudbox/Community/wiki/Install,31,18
/Cloudbox/Community/wiki/Quality-Release-Groups,17,15
/Cloudbox/Community/tree/master/roles,16,10
/Cloudbox/Community/wiki/Speed-up-Plex---Emby---Jellyfin,11,10
/Cloudbox/Community/wiki/Organizr-Auth-for-Nginx-Proxy-Apps,11,4
/Cloudbox/Community/wiki/eBooks:-Calibre-and-Calibre-web,10,6
/Cloudbox/Community/wiki/qBittorrent,8,7
