url_path,views_total,views_unique
/Cloudbox/Community/wiki,115,62
/Cloudbox/Community,91,66
/Cloudbox/Community/wiki/Trakt-Lists,51,26
/Cloudbox/Community/wiki/Install,31,18
/Cloudbox/Community/wiki/Quality-Release-Groups,15,13
/Cloudbox/Community/wiki/Speed-up-Plex---Emby---Jellyfin,11,10
/Cloudbox/Community/tree/master/roles,11,8
/Cloudbox/Community/wiki/Organizr-Auth-for-Nginx-Proxy-Apps,10,4
/Cloudbox/Community/wiki/qBittorrent,8,7
/Cloudbox/Community/wiki/eBooks:-Calibre-and-Calibre-web,8,4
