url_path,views_total,views_unique
/Cloudbox/Community/wiki,118,64
/Cloudbox/Community,98,73
/Cloudbox/Community/wiki/Trakt-Lists,51,27
/Cloudbox/Community/wiki/Install,32,19
/Cloudbox/Community/wiki/Quality-Release-Groups,17,15
/Cloudbox/Community/tree/master/roles,15,10
/Cloudbox/Community/wiki/Speed-up-Plex---Emby---Jellyfin,11,10
/Cloudbox/Community/wiki/eBooks:-Calibre-and-Calibre-web,10,6
/Cloudbox/Community/wiki/Organizr-Auth-for-Nginx-Proxy-Apps,10,4
/Cloudbox/Community/wiki/qBittorrent,8,7
