time_iso8601,stars_cumulative
2022-10-14 00:00:00+00:00,215
2022-10-20 00:00:00+00:00,216
2022-10-24 00:00:00+00:00,217
2022-10-25 00:00:00+00:00,219
2022-10-31 00:00:00+00:00,221
2022-11-01 00:00:00+00:00,223
2022-11-04 00:00:00+00:00,225
2022-11-07 00:00:00+00:00,226
2022-11-08 00:00:00+00:00,227
2022-11-12 00:00:00+00:00,228
2022-11-13 00:00:00+00:00,229
2022-11-14 00:00:00+00:00,231
2022-11-15 00:00:00+00:00,232
2022-11-20 00:00:00+00:00,233
2022-11-22 00:00:00+00:00,235
2022-11-24 00:00:00+00:00,236
2022-11-26 00:00:00+00:00,237
2022-11-29 00:00:00+00:00,238
2022-11-30 00:00:00+00:00,239
2022-12-04 00:00:00+00:00,241
2022-12-08 00:00:00+00:00,242
2022-12-10 00:00:00+00:00,243
2022-12-12 00:00:00+00:00,245
2022-12-15 00:00:00+00:00,246
2022-12-16 00:00:00+00:00,248
2022-12-19 00:00:00+00:00,249
2022-12-20 00:00:00+00:00,250
2022-12-23 00:00:00+00:00,251
2022-12-27 00:00:00+00:00,252
2022-12-29 00:00:00+00:00,255
2022-12-31 00:00:00+00:00,256
2023-01-01 00:00:00+00:00,258
2023-01-02 00:00:00+00:00,259
2023-01-05 00:00:00+00:00,261
2023-01-14 00:00:00+00:00,262
2023-01-17 00:00:00+00:00,263
2023-01-18 00:00:00+00:00,264
2023-01-23 00:00:00+00:00,265
2023-01-26 00:00:00+00:00,266
2023-01-27 00:00:00+00:00,267
2023-01-28 00:00:00+00:00,268
2023-01-29 00:00:00+00:00,269
