time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-18 00:00:00+00:00,1544,7,5,5
2026-03-19 00:00:00+00:00,1381,7,8,5
2026-03-20 00:00:00+00:00,1691,74,16,4
2026-03-21 00:00:00+00:00,1367,262,26,6
2026-03-22 00:00:00+00:00,1418,9,30,7
2026-03-23 00:00:00+00:00,1747,81,19,3
2026-03-24 00:00:00+00:00,2321,140,22,6
2026-03-25 00:00:00+00:00,2878,390,10,5
2026-03-26 00:00:00+00:00,2646,262,4,3
2026-03-27 00:00:00+00:00,2310,16,16,6
2026-03-28 00:00:00+00:00,2541,77,12,3
2026-03-29 00:00:00+00:00,2685,137,2,1
2026-03-30 00:00:00+00:00,3484,438,4,4
2026-03-31 00:00:00+00:00,2678,12,6,1
