url_path,views_total,views_unique
/saltyorg/Sandbox/tree/master/roles,42,13
/saltyorg/Sandbox,27,20
/saltyorg/Sandbox/actions,13,1
/saltyorg/Sandbox/actions/runs/9121532544,7,1
/saltyorg/Sandbox/tree/master/roles/nextcloud,7,1
/saltyorg/Sandbox/actions/runs/9004516555,6,1
/saltyorg/Sandbox/blob/master/roles/sarotate/tasks/main.yml,6,1
/saltyorg/Sandbox/blob/master/roles/transmission/defaults/main.yml,6,1
/saltyorg/Sandbox/tree/master/roles/plex_meta_manager/tasks,6,1
/saltyorg/Sandbox/tree/master/roles/transmission,6,1
