url_path,views_total,views_unique
/saltyorg/Sandbox/tree/master/roles,71,17
/saltyorg/Sandbox,47,25
/saltyorg/Sandbox/issues,9,6
/saltyorg/Sandbox/blob/master/roles/rocketchat/defaults/main.yml,8,1
/saltyorg/Sandbox/issues/306,7,6
/saltyorg/Sandbox/blob/c2a3ed10404c83d07f3fd22d3dfe85e910406880/roles/paperless_ngx/tasks/main.yml,7,4
/saltyorg/Sandbox/pulls,7,3
/saltyorg/Sandbox/blob/master/sandbox.yml,7,2
/saltyorg/Sandbox/blob/c2a3ed10404c83d07f3fd22d3dfe85e910406880/roles/tdarr/defaults/main.yml,6,2
/saltyorg/Sandbox/blob/5cda74e0e78cd0ac1fdc308d84dd0802330d8f69/roles/code_server/defaults/main.yml,6,1
