time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-02 00:00:00+00:00,1838,139,1,1
2026-03-03 00:00:00+00:00,3259,825,16,4
2026-03-04 00:00:00+00:00,1626,6,3,2
2026-03-05 00:00:00+00:00,1840,141,2,2
2026-03-06 00:00:00+00:00,1690,71,9,3
2026-03-07 00:00:00+00:00,1921,141,6,2
2026-03-08 00:00:00+00:00,1709,11,9,3
2026-03-09 00:00:00+00:00,1767,148,6,4
2026-03-10 00:00:00+00:00,1897,270,3,2
2026-03-11 00:00:00+00:00,1677,140,5,4
2026-03-12 00:00:00+00:00,1668,131,7,4
2026-03-13 00:00:00+00:00,1668,210,5,2
2026-03-14 00:00:00+00:00,1627,10,3,2
2026-03-15 00:00:00+00:00,1609,73,36,4
