url_path,views_total,views_unique
/Cloudbox/Cloudbox/wiki,826,510
/Cloudbox/Cloudbox,626,415
/Cloudbox/Cloudbox/wiki/Basics%3A-Cloudbox-Install-Types,118,84
/Cloudbox/Cloudbox/wiki/Basics%3A-Introduction,101,84
/Cloudbox/Cloudbox/wiki/Install%3A-Dependencies-%28Master-Branch%29,83,36
/Cloudbox/Cloudbox/wiki/Install%3A-Overview,82,49
/Cloudbox/Cloudbox/wiki/Prerequisites%3A-Server,74,51
/Cloudbox/Cloudbox/issues,74,46
/Cloudbox/Cloudbox/wiki/Install%3A-Rclone,69,34
/Cloudbox/Cloudbox/search,61,20
