time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-07 00:00:00+00:00,132,122,381,75
2022-09-08 00:00:00+00:00,540,483,691,104
2022-09-09 00:00:00+00:00,63,33,442,127
2022-09-10 00:00:00+00:00,380,308,306,102
2022-09-11 00:00:00+00:00,1856,1007,530,109
2022-09-12 00:00:00+00:00,10,6,330,94
2022-09-13 00:00:00+00:00,1154,885,314,90
2022-09-14 00:00:00+00:00,9,7,478,109
2022-09-15 00:00:00+00:00,12,8,500,99
2022-09-16 00:00:00+00:00,15,6,367,89
2022-09-17 00:00:00+00:00,13,7,333,73
2022-09-18 00:00:00+00:00,9,6,300,83
2022-09-19 00:00:00+00:00,303,255,482,116
2022-09-20 00:00:00+00:00,59,40,318,76
